date,COTI/USDT
2025-03-17 00:00:00+00:00,0.06956
2025-03-18 00:00:00+00:00,0.06568
2025-03-19 00:00:00+00:00,0.07291
2025-03-20 00:00:00+00:00,0.06916
2025-03-21 00:00:00+00:00,0.07499
2025-03-22 00:00:00+00:00,0.07448
2025-03-23 00:00:00+00:00,0.07778
2025-03-24 00:00:00+00:00,0.07908
2025-03-25 00:00:00+00:00,0.08677
2025-03-26 00:00:00+00:00,0.08474
2025-03-27 00:00:00+00:00,0.08043
2025-03-28 00:00:00+00:00,0.07436
2025-03-29 00:00:00+00:00,0.06931
2025-03-30 00:00:00+00:00,0.07108
2025-03-31 00:00:00+00:00,0.06883
2025-04-01 00:00:00+00:00,0.07005
2025-04-02 00:00:00+00:00,0.06583
2025-04-03 00:00:00+00:00,0.06393
2025-04-04 00:00:00+00:00,0.06488
2025-04-05 00:00:00+00:00,0.06384
2025-04-06 00:00:00+00:00,0.05547
2025-04-07 00:00:00+00:00,0.05635
2025-04-08 00:00:00+00:00,0.0529
2025-04-09 00:00:00+00:00,0.06052
2025-04-10 00:00:00+00:00,0.05796
2025-04-11 00:00:00+00:00,0.05948
2025-04-12 00:00:00+00:00,0.06548
2025-04-13 00:00:00+00:00,0.05909
2025-04-14 00:00:00+00:00,0.06277
2025-04-15 00:00:00+00:00,0.06641
2025-04-16 00:00:00+00:00,0.06288
2025-04-17 00:00:00+00:00,0.06388
2025-04-18 00:00:00+00:00,0.06527
2025-04-19 00:00:00+00:00,0.06603
2025-04-20 00:00:00+00:00,0.07157
2025-04-21 00:00:00+00:00,0.06739
2025-04-22 00:00:00+00:00,0.07259
2025-04-23 00:00:00+00:00,0.07654
2025-04-24 00:00:00+00:00,0.07605
2025-04-25 00:00:00+00:00,0.07775
2025-04-26 00:00:00+00:00,0.08065
2025-04-27 00:00:00+00:00,0.07734
2025-04-28 00:00:00+00:00,0.07662
2025-04-29 00:00:00+00:00,0.07266
2025-04-30 00:00:00+00:00,0.0817
2025-05-01 00:00:00+00:00,0.08432
2025-05-02 00:00:00+00:00,0.08058
2025-05-03 00:00:00+00:00,0.0745
2025-05-04 00:00:00+00:00,0.07319
2025-05-05 00:00:00+00:00,0.07516
2025-05-06 00:00:00+00:00,0.0722
2025-05-07 00:00:00+00:00,0.07203
2025-05-08 00:00:00+00:00,0.0812
2025-05-09 00:00:00+00:00,0.08486
2025-05-10 00:00:00+00:00,0.08933
2025-05-11 00:00:00+00:00,0.08541
2025-05-12 00:00:00+00:00,0.08296
2025-05-13 00:00:00+00:00,0.08653
2025-05-14 00:00:00+00:00,0.08072
2025-05-15 00:00:00+00:00,0.07653
2025-05-16 00:00:00+00:00,0.07259
2025-05-17 00:00:00+00:00,0.07081
2025-05-18 00:00:00+00:00,0.07476
2025-05-19 00:00:00+00:00,0.07082
2025-05-20 00:00:00+00:00,0.07174
2025-05-21 00:00:00+00:00,0.07195
2025-05-22 00:00:00+00:00,0.07589
2025-05-23 00:00:00+00:00,0.06783
2025-05-24 00:00:00+00:00,0.06979
2025-05-25 00:00:00+00:00,0.07081
2025-05-26 00:00:00+00:00,0.06853
2025-05-27 00:00:00+00:00,0.07054
2025-05-28 00:00:00+00:00,0.06981
2025-05-29 00:00:00+00:00,0.06639
2025-05-30 00:00:00+00:00,0.05737
2025-05-31 00:00:00+00:00,0.05994
2025-06-01 00:00:00+00:00,0.06004
2025-06-02 00:00:00+00:00,0.06002
2025-06-03 00:00:00+00:00,0.05956
2025-06-04 00:00:00+00:00,0.05827
2025-06-05 00:00:00+00:00,0.05458
2025-06-06 00:00:00+00:00,0.05611
2025-06-07 00:00:00+00:00,0.05827
2025-06-08 00:00:00+00:00,0.05787
2025-06-09 00:00:00+00:00,0.06043
2025-06-10 00:00:00+00:00,0.06219
2025-06-11 00:00:00+00:00,0.05749
2025-06-12 00:00:00+00:00,0.05415
2025-06-13 00:00:00+00:00,0.05274
2025-06-14 00:00:00+00:00,0.05085
2025-06-15 00:00:00+00:00,0.05231
2025-06-16 00:00:00+00:00,0.0516
2025-06-17 00:00:00+00:00,0.04958
2025-06-18 00:00:00+00:00,0.05129
2025-06-19 00:00:00+00:00,0.05073
2025-06-20 00:00:00+00:00,0.05016
2025-06-21 00:00:00+00:00,0.04636
2025-06-22 00:00:00+00:00,0.04474
2025-06-23 00:00:00+00:00,0.05055
2025-06-24 00:00:00+00:00,0.05074
2025-06-25 00:00:00+00:00,0.04997
2025-06-26 00:00:00+00:00,0.04891
2025-06-27 00:00:00+00:00,0.04982
2025-06-28 00:00:00+00:00,0.05066
2025-06-29 00:00:00+00:00,0.05457
2025-06-30 00:00:00+00:00,0.05176
2025-07-01 00:00:00+00:00,0.04956
2025-07-02 00:00:00+00:00,0.05239
2025-07-03 00:00:00+00:00,0.05203
2025-07-04 00:00:00+00:00,0.0495
2025-07-05 00:00:00+00:00,0.04939
2025-07-06 00:00:00+00:00,0.05025
2025-07-07 00:00:00+00:00,0.0491
2025-07-08 00:00:00+00:00,0.05046
2025-07-09 00:00:00+00:00,0.0534
2025-07-10 00:00:00+00:00,0.05674
2025-07-11 00:00:00+00:00,0.05624
2025-07-12 00:00:00+00:00,0.05398
2025-07-13 00:00:00+00:00,0.05636
2025-07-14 00:00:00+00:00,0.05552
2025-07-15 00:00:00+00:00,0.05638
2025-07-16 00:00:00+00:00,0.0579
2025-07-17 00:00:00+00:00,0.05868
2025-07-18 00:00:00+00:00,0.0606
2025-07-19 00:00:00+00:00,0.06248
2025-07-20 00:00:00+00:00,0.06531
2025-07-21 00:00:00+00:00,0.06708
2025-07-22 00:00:00+00:00,0.06603
2025-07-23 00:00:00+00:00,0.06085
2025-07-24 00:00:00+00:00,0.05767
2025-07-25 00:00:00+00:00,0.0597
2025-07-26 00:00:00+00:00,0.05917
2025-07-27 00:00:00+00:00,0.06084
2025-07-28 00:00:00+00:00,0.05816
2025-07-29 00:00:00+00:00,0.05579
2025-07-30 00:00:00+00:00,0.0573
2025-07-31 00:00:00+00:00,0.05371
2025-08-01 00:00:00+00:00,0.05175
2025-08-02 00:00:00+00:00,0.05037
2025-08-03 00:00:00+00:00,0.05237
2025-08-04 00:00:00+00:00,0.05445
2025-08-05 00:00:00+00:00,0.05223
2025-08-06 00:00:00+00:00,0.05282
2025-08-07 00:00:00+00:00,0.0543
2025-08-08 00:00:00+00:00,0.05526
2025-08-09 00:00:00+00:00,0.05749
2025-08-10 00:00:00+00:00,0.05597
2025-08-11 00:00:00+00:00,0.05233
2025-08-12 00:00:00+00:00,0.05605
2025-08-13 00:00:00+00:00,0.06021
2025-08-14 00:00:00+00:00,0.05431
2025-08-15 00:00:00+00:00,0.05351
2025-08-16 00:00:00+00:00,0.05534
2025-08-17 00:00:00+00:00,0.05478
2025-08-18 00:00:00+00:00,0.05222
2025-08-19 00:00:00+00:00,0.05058
2025-08-20 00:00:00+00:00,0.05397
2025-08-21 00:00:00+00:00,0.05271
2025-08-22 00:00:00+00:00,0.05773
2025-08-23 00:00:00+00:00,0.05591
2025-08-24 00:00:00+00:00,0.05535
2025-08-25 00:00:00+00:00,0.05056
2025-08-26 00:00:00+00:00,0.05263
2025-08-27 00:00:00+00:00,0.05226
2025-08-28 00:00:00+00:00,0.05354
2025-08-29 00:00:00+00:00,0.05093
2025-08-30 00:00:00+00:00,0.05194
2025-08-31 00:00:00+00:00,0.05166
2025-09-01 00:00:00+00:00,0.04912
2025-09-02 00:00:00+00:00,0.0505
2025-09-03 00:00:00+00:00,0.05032
2025-09-04 00:00:00+00:00,0.04797
2025-09-05 00:00:00+00:00,0.04889
2025-09-06 00:00:00+00:00,0.04845
2025-09-07 00:00:00+00:00,0.04903
2025-09-08 00:00:00+00:00,0.05048
2025-09-09 00:00:00+00:00,0.05092
2025-09-10 00:00:00+00:00,0.05081
2025-09-11 00:00:00+00:00,0.05153
2025-09-12 00:00:00+00:00,0.05225
2025-09-13 00:00:00+00:00,0.05627
2025-09-14 00:00:00+00:00,0.05283
2025-09-15 00:00:00+00:00,0.05092
2025-09-16 00:00:00+00:00,0.05485
2025-09-17 00:00:00+00:00,0.05455
2025-09-18 00:00:00+00:00,0.05459
2025-09-19 00:00:00+00:00,0.05169
2025-09-20 00:00:00+00:00,0.05277
2025-09-21 00:00:00+00:00,0.05147
2025-09-22 00:00:00+00:00,0.04727
2025-09-23 00:00:00+00:00,0.04644
2025-09-24 00:00:00+00:00,0.0463
2025-09-25 00:00:00+00:00,0.04313
2025-09-26 00:00:00+00:00,0.04391
2025-09-27 00:00:00+00:00,0.04382
2025-09-28 00:00:00+00:00,0.04436
2025-09-29 00:00:00+00:00,0.04324
2025-09-30 00:00:00+00:00,0.04296
2025-10-01 00:00:00+00:00,0.04567
2025-10-02 00:00:00+00:00,0.04715
2025-10-03 00:00:00+00:00,0.04755
2025-10-04 00:00:00+00:00,0.046
2025-10-05 00:00:00+00:00,0.04496
2025-10-06 00:00:00+00:00,0.04799
2025-10-07 00:00:00+00:00,0.04508
2025-10-08 00:00:00+00:00,0.05096
2025-10-09 00:00:00+00:00,0.04969
2025-10-10 00:00:00+00:00,0.03652
2025-10-11 00:00:00+00:00,0.03515
2025-10-12 00:00:00+00:00,0.03812
2025-10-13 00:00:00+00:00,0.04061
2025-10-14 00:00:00+00:00,0.03933
2025-10-15 00:00:00+00:00,0.03714
2025-10-16 00:00:00+00:00,0.03497
2025-10-17 00:00:00+00:00,0.03295
2025-10-18 00:00:00+00:00,0.03414
2025-10-19 00:00:00+00:00,0.03394
2025-10-20 00:00:00+00:00,0.03427
2025-10-21 00:00:00+00:00,0.03333
2025-10-22 00:00:00+00:00,0.03269
2025-10-23 00:00:00+00:00,0.034
2025-10-24 00:00:00+00:00,0.03377
2025-10-25 00:00:00+00:00,0.03368
2025-10-26 00:00:00+00:00,0.03441
2025-10-27 00:00:00+00:00,0.03381
2025-10-28 00:00:00+00:00,0.03348
2025-10-29 00:00:00+00:00,0.03361
2025-10-30 00:00:00+00:00,0.03068
2025-10-31 00:00:00+00:00,0.03129
2025-11-01 00:00:00+00:00,0.03382
2025-11-02 00:00:00+00:00,0.03329
2025-11-03 00:00:00+00:00,0.02856
2025-11-04 00:00:00+00:00,0.0274
2025-11-05 00:00:00+00:00,0.02794
2025-11-06 00:00:00+00:00,0.02901
2025-11-07 00:00:00+00:00,0.0376
2025-11-08 00:00:00+00:00,0.03532
2025-11-09 00:00:00+00:00,0.05713
2025-11-10 00:00:00+00:00,0.04671
2025-11-11 00:00:00+00:00,0.04141
2025-11-12 00:00:00+00:00,0.03802
2025-11-13 00:00:00+00:00,0.03716
2025-11-14 00:00:00+00:00,0.0351
2025-11-15 00:00:00+00:00,0.03557
2025-11-16 00:00:00+00:00,0.03406
2025-11-17 00:00:00+00:00,0.03244
2025-11-18 00:00:00+00:00,0.03264
2025-11-19 00:00:00+00:00,0.03145
2025-11-20 00:00:00+00:00,0.03048
2025-11-21 00:00:00+00:00,0.02792
2025-11-22 00:00:00+00:00,0.02773
2025-11-23 00:00:00+00:00,0.02752
2025-11-24 00:00:00+00:00,0.0282
2025-11-25 00:00:00+00:00,0.02892
2025-11-26 00:00:00+00:00,0.03038
2025-11-27 00:00:00+00:00,0.02933
2025-11-28 00:00:00+00:00,0.03015
2025-11-29 00:00:00+00:00,0.0284
2025-11-30 00:00:00+00:00,0.02797
2025-12-01 00:00:00+00:00,0.02501
2025-12-02 00:00:00+00:00,0.02703
2025-12-03 00:00:00+00:00,0.02795
2025-12-04 00:00:00+00:00,0.02708
2025-12-05 00:00:00+00:00,0.02626
2025-12-06 00:00:00+00:00,0.02693
2025-12-07 00:00:00+00:00,0.02582
2025-12-08 00:00:00+00:00,0.02619
2025-12-09 00:00:00+00:00,0.02629
2025-12-10 00:00:00+00:00,0.02516
2025-12-11 00:00:00+00:00,0.02501
2025-12-12 00:00:00+00:00,0.02362
2025-12-13 00:00:00+00:00,0.02399
2025-12-14 00:00:00+00:00,0.02299
2025-12-15 00:00:00+00:00,0.02234
2025-12-16 00:00:00+00:00,0.02215
2025-12-17 00:00:00+00:00,0.02023
2025-12-18 00:00:00+00:00,0.02032
2025-12-19 00:00:00+00:00,0.02182
2025-12-20 00:00:00+00:00,0.0213
2025-12-21 00:00:00+00:00,0.02087
2025-12-22 00:00:00+00:00,0.02103
2025-12-23 00:00:00+00:00,0.02104
2025-12-24 00:00:00+00:00,0.02142
2025-12-25 00:00:00+00:00,0.02107
2025-12-26 00:00:00+00:00,0.02163
2025-12-27 00:00:00+00:00,0.0226
2025-12-28 00:00:00+00:00,0.02192
2025-12-29 00:00:00+00:00,0.02135
2025-12-30 00:00:00+00:00,0.02106
2025-12-31 00:00:00+00:00,0.02071
2026-01-01 00:00:00+00:00,0.02184
2026-01-02 00:00:00+00:00,0.02241
2026-01-03 00:00:00+00:00,0.02237
2026-01-04 00:00:00+00:00,0.02252
2026-01-05 00:00:00+00:00,0.0229
2026-01-06 00:00:00+00:00,0.02338
2026-01-07 00:00:00+00:00,0.02221
2026-01-08 00:00:00+00:00,0.02182
2026-01-09 00:00:00+00:00,0.02171
2026-01-10 00:00:00+00:00,0.02154
2026-01-11 00:00:00+00:00,0.02104
2026-01-12 00:00:00+00:00,0.02062
2026-01-13 00:00:00+00:00,0.02294
2026-01-14 00:00:00+00:00,0.02229
2026-01-15 00:00:00+00:00,0.02096
2026-01-16 00:00:00+00:00,0.0216
2026-01-17 00:00:00+00:00,0.02239
2026-01-18 00:00:00+00:00,0.02044
2026-01-19 00:00:00+00:00,0.02181
2026-01-20 00:00:00+00:00,0.02188
