date,SUI/USDT
2024-11-03 00:00:00+00:00,1.9466
2024-11-04 00:00:00+00:00,1.8495
2024-11-05 00:00:00+00:00,2.009
2024-11-06 00:00:00+00:00,2.3042
2024-11-07 00:00:00+00:00,2.319
2024-11-08 00:00:00+00:00,2.2883
2024-11-09 00:00:00+00:00,2.7477
2024-11-10 00:00:00+00:00,3.0331
2024-11-11 00:00:00+00:00,3.2726
2024-11-12 00:00:00+00:00,3.2151
2024-11-13 00:00:00+00:00,3.3039
2024-11-14 00:00:00+00:00,3.3534
2024-11-15 00:00:00+00:00,3.6107
2024-11-16 00:00:00+00:00,3.7607
2024-11-17 00:00:00+00:00,3.7839
2024-11-18 00:00:00+00:00,3.6992
2024-11-19 00:00:00+00:00,3.724
2024-11-20 00:00:00+00:00,3.5247
2024-11-21 00:00:00+00:00,3.6252
2024-11-22 00:00:00+00:00,3.5653
2024-11-23 00:00:00+00:00,3.4367
2024-11-24 00:00:00+00:00,3.3958
2024-11-25 00:00:00+00:00,3.1926
2024-11-26 00:00:00+00:00,3.4944
2024-11-27 00:00:00+00:00,3.4332
2024-11-28 00:00:00+00:00,3.4436
2024-11-29 00:00:00+00:00,3.4856
2024-11-30 00:00:00+00:00,3.4758
2024-12-01 00:00:00+00:00,3.4763
2024-12-02 00:00:00+00:00,3.3894
2024-12-03 00:00:00+00:00,3.6951
2024-12-04 00:00:00+00:00,3.6737
2024-12-05 00:00:00+00:00,4.2274
2024-12-06 00:00:00+00:00,4.2171
2024-12-07 00:00:00+00:00,4.2589
2024-12-08 00:00:00+00:00,4.2322
2024-12-09 00:00:00+00:00,3.8379
2024-12-10 00:00:00+00:00,3.7135
2024-12-11 00:00:00+00:00,4.3728
2024-12-12 00:00:00+00:00,4.6209
2024-12-13 00:00:00+00:00,4.7623
2024-12-14 00:00:00+00:00,4.4592
2024-12-15 00:00:00+00:00,4.7834
2024-12-16 00:00:00+00:00,4.6286
2024-12-17 00:00:00+00:00,4.6409
2024-12-18 00:00:00+00:00,4.3361
2024-12-19 00:00:00+00:00,4.0754
2024-12-20 00:00:00+00:00,4.5815
2024-12-21 00:00:00+00:00,4.3629
2024-12-22 00:00:00+00:00,4.3257
2024-12-23 00:00:00+00:00,4.7163
2024-12-24 00:00:00+00:00,4.6059
2024-12-25 00:00:00+00:00,4.4983
2024-12-26 00:00:00+00:00,4.2024
2024-12-27 00:00:00+00:00,4.0847
2024-12-28 00:00:00+00:00,4.2133
2024-12-29 00:00:00+00:00,4.0921
2024-12-30 00:00:00+00:00,4.1811
2024-12-31 00:00:00+00:00,4.1225
2025-01-01 00:00:00+00:00,4.2847
2025-01-02 00:00:00+00:00,4.3526
2025-01-03 00:00:00+00:00,4.9843
2025-01-04 00:00:00+00:00,5.2902
2025-01-05 00:00:00+00:00,5.2443
2025-01-06 00:00:00+00:00,5.09
2025-01-07 00:00:00+00:00,4.7852
2025-01-08 00:00:00+00:00,4.8961
2025-01-09 00:00:00+00:00,4.7506
2025-01-10 00:00:00+00:00,5.1229
2025-01-11 00:00:00+00:00,4.97
2025-01-12 00:00:00+00:00,4.7328
2025-01-13 00:00:00+00:00,4.7487
2025-01-14 00:00:00+00:00,4.5855
2025-01-15 00:00:00+00:00,4.8359
2025-01-16 00:00:00+00:00,4.749
2025-01-17 00:00:00+00:00,4.8382
2025-01-18 00:00:00+00:00,5.004
2025-01-19 00:00:00+00:00,4.5071
2025-01-20 00:00:00+00:00,4.4181
2025-01-21 00:00:00+00:00,4.6581
2025-01-22 00:00:00+00:00,4.4711
2025-01-23 00:00:00+00:00,4.3023
2025-01-24 00:00:00+00:00,4.2016
2025-01-25 00:00:00+00:00,4.13
2025-01-26 00:00:00+00:00,3.87
2025-01-27 00:00:00+00:00,3.9636
2025-01-28 00:00:00+00:00,3.6528
2025-01-29 00:00:00+00:00,3.6984
2025-01-30 00:00:00+00:00,4.118
2025-01-31 00:00:00+00:00,4.0891
2025-02-01 00:00:00+00:00,3.7347
2025-02-02 00:00:00+00:00,3.3072
2025-02-03 00:00:00+00:00,3.6504
2025-02-04 00:00:00+00:00,3.594
2025-02-05 00:00:00+00:00,3.3302
2025-02-06 00:00:00+00:00,3.1358
2025-02-07 00:00:00+00:00,3.0139
2025-02-08 00:00:00+00:00,3.0624
2025-02-09 00:00:00+00:00,2.9952
2025-02-10 00:00:00+00:00,3.2159
2025-02-11 00:00:00+00:00,3.3279
2025-02-12 00:00:00+00:00,3.5821
2025-02-13 00:00:00+00:00,3.4676
2025-02-14 00:00:00+00:00,3.5531
2025-02-15 00:00:00+00:00,3.4178
2025-02-16 00:00:00+00:00,3.2688
2025-02-17 00:00:00+00:00,3.2183
2025-02-18 00:00:00+00:00,3.0652
2025-02-19 00:00:00+00:00,3.2182
2025-02-20 00:00:00+00:00,3.4508
2025-02-21 00:00:00+00:00,3.2695
2025-02-22 00:00:00+00:00,3.4216
2025-02-23 00:00:00+00:00,3.3782
2025-02-24 00:00:00+00:00,2.8304
2025-02-25 00:00:00+00:00,2.9577
2025-02-26 00:00:00+00:00,2.8831
2025-02-27 00:00:00+00:00,2.7888
2025-02-28 00:00:00+00:00,2.83
2025-03-01 00:00:00+00:00,2.8194
2025-03-02 00:00:00+00:00,3.1935
2025-03-03 00:00:00+00:00,2.6179
2025-03-04 00:00:00+00:00,2.5262
2025-03-05 00:00:00+00:00,2.6332
2025-03-06 00:00:00+00:00,2.7361
2025-03-07 00:00:00+00:00,2.5826
2025-03-08 00:00:00+00:00,2.4834
2025-03-09 00:00:00+00:00,2.2898
2025-03-10 00:00:00+00:00,2.0888
2025-03-11 00:00:00+00:00,2.2288
2025-03-12 00:00:00+00:00,2.2854
2025-03-13 00:00:00+00:00,2.1635
2025-03-14 00:00:00+00:00,2.3254
2025-03-15 00:00:00+00:00,2.3523
2025-03-16 00:00:00+00:00,2.2314
2025-03-17 00:00:00+00:00,2.379
2025-03-18 00:00:00+00:00,2.2847
2025-03-19 00:00:00+00:00,2.4745
2025-03-20 00:00:00+00:00,2.3571
2025-03-21 00:00:00+00:00,2.2527
2025-03-22 00:00:00+00:00,2.2638
2025-03-23 00:00:00+00:00,2.2925
2025-03-24 00:00:00+00:00,2.3975
2025-03-25 00:00:00+00:00,2.4574
2025-03-26 00:00:00+00:00,2.6198
2025-03-27 00:00:00+00:00,2.7811
2025-03-28 00:00:00+00:00,2.5058
2025-03-29 00:00:00+00:00,2.3114
2025-03-30 00:00:00+00:00,2.3515
2025-03-31 00:00:00+00:00,2.2674
2025-04-01 00:00:00+00:00,2.4075
2025-04-02 00:00:00+00:00,2.3081
2025-04-03 00:00:00+00:00,2.2632
2025-04-04 00:00:00+00:00,2.2577
2025-04-05 00:00:00+00:00,2.2163
2025-04-06 00:00:00+00:00,1.9215
2025-04-07 00:00:00+00:00,2.0191
2025-04-08 00:00:00+00:00,1.9306
2025-04-09 00:00:00+00:00,2.2217
2025-04-10 00:00:00+00:00,2.1127
2025-04-11 00:00:00+00:00,2.1882
2025-04-12 00:00:00+00:00,2.3463
2025-04-13 00:00:00+00:00,2.2335
2025-04-14 00:00:00+00:00,2.1925
2025-04-15 00:00:00+00:00,2.0889
2025-04-16 00:00:00+00:00,2.0555
2025-04-17 00:00:00+00:00,2.123
2025-04-18 00:00:00+00:00,2.1202
2025-04-19 00:00:00+00:00,2.1549
2025-04-20 00:00:00+00:00,2.1135
2025-04-21 00:00:00+00:00,2.1964
2025-04-22 00:00:00+00:00,2.6674
2025-04-23 00:00:00+00:00,2.9662
2025-04-24 00:00:00+00:00,3.3437
2025-04-25 00:00:00+00:00,3.519
2025-04-26 00:00:00+00:00,3.5197
2025-04-27 00:00:00+00:00,3.5581
2025-04-28 00:00:00+00:00,3.5265
2025-04-29 00:00:00+00:00,3.5319
2025-04-30 00:00:00+00:00,3.5053
2025-05-01 00:00:00+00:00,3.5504
2025-05-02 00:00:00+00:00,3.4259
2025-05-03 00:00:00+00:00,3.3351
2025-05-04 00:00:00+00:00,3.2747
2025-05-05 00:00:00+00:00,3.4234
2025-05-06 00:00:00+00:00,3.3458
2025-05-07 00:00:00+00:00,3.3314
2025-05-08 00:00:00+00:00,4.0335
2025-05-09 00:00:00+00:00,3.9504
2025-05-10 00:00:00+00:00,4.1214
2025-05-11 00:00:00+00:00,4.0175
2025-05-12 00:00:00+00:00,3.9632
2025-05-13 00:00:00+00:00,4.0632
2025-05-14 00:00:00+00:00,3.9152
2025-05-15 00:00:00+00:00,3.8486
2025-05-16 00:00:00+00:00,3.7802
2025-05-17 00:00:00+00:00,3.8018
2025-05-18 00:00:00+00:00,3.9423
2025-05-19 00:00:00+00:00,3.8373
2025-05-20 00:00:00+00:00,3.8542
2025-05-21 00:00:00+00:00,3.9286
2025-05-22 00:00:00+00:00,3.8898
2025-05-23 00:00:00+00:00,3.5816
2025-05-24 00:00:00+00:00,3.6258
2025-05-25 00:00:00+00:00,3.6005
2025-05-26 00:00:00+00:00,3.4899
2025-05-27 00:00:00+00:00,3.6722
2025-05-28 00:00:00+00:00,3.605
2025-05-29 00:00:00+00:00,3.5254
2025-05-30 00:00:00+00:00,3.1881
2025-05-31 00:00:00+00:00,3.2457
2025-06-01 00:00:00+00:00,3.343
2025-06-02 00:00:00+00:00,3.3309
2025-06-03 00:00:00+00:00,3.2512
2025-06-04 00:00:00+00:00,3.1632
2025-06-05 00:00:00+00:00,2.9208
2025-06-06 00:00:00+00:00,3.1939
2025-06-07 00:00:00+00:00,3.2427
2025-06-08 00:00:00+00:00,3.2232
2025-06-09 00:00:00+00:00,3.4483
2025-06-10 00:00:00+00:00,3.4928
2025-06-11 00:00:00+00:00,3.3947
2025-06-12 00:00:00+00:00,3.2078
2025-06-13 00:00:00+00:00,3.0758
2025-06-14 00:00:00+00:00,2.947
2025-06-15 00:00:00+00:00,3.0233
2025-06-16 00:00:00+00:00,2.9962
2025-06-17 00:00:00+00:00,2.8326
2025-06-18 00:00:00+00:00,2.828
2025-06-19 00:00:00+00:00,2.8287
2025-06-20 00:00:00+00:00,2.7163
2025-06-21 00:00:00+00:00,2.5689
2025-06-22 00:00:00+00:00,2.4495
2025-06-23 00:00:00+00:00,2.8276
2025-06-24 00:00:00+00:00,2.7984
2025-06-25 00:00:00+00:00,2.7316
2025-06-26 00:00:00+00:00,2.6012
2025-06-27 00:00:00+00:00,2.7213
2025-06-28 00:00:00+00:00,2.8018
2025-06-29 00:00:00+00:00,2.8997
2025-06-30 00:00:00+00:00,2.7769
2025-07-01 00:00:00+00:00,2.672
2025-07-02 00:00:00+00:00,2.8986
2025-07-03 00:00:00+00:00,3.0224
2025-07-04 00:00:00+00:00,2.8755
2025-07-05 00:00:00+00:00,2.8987
2025-07-06 00:00:00+00:00,2.9089
2025-07-07 00:00:00+00:00,2.8579
2025-07-08 00:00:00+00:00,2.8947
2025-07-09 00:00:00+00:00,3.0726
2025-07-10 00:00:00+00:00,3.4909
2025-07-11 00:00:00+00:00,3.3868
2025-07-12 00:00:00+00:00,3.4019
2025-07-13 00:00:00+00:00,3.4899
2025-07-14 00:00:00+00:00,3.8892
2025-07-15 00:00:00+00:00,4.1014
2025-07-16 00:00:00+00:00,3.9424
2025-07-17 00:00:00+00:00,4.0077
2025-07-18 00:00:00+00:00,3.7819
2025-07-19 00:00:00+00:00,3.8346
2025-07-20 00:00:00+00:00,3.891
2025-07-21 00:00:00+00:00,3.961
2025-07-22 00:00:00+00:00,4.0093
2025-07-23 00:00:00+00:00,3.7179
2025-07-24 00:00:00+00:00,3.7205
2025-07-25 00:00:00+00:00,3.948
2025-07-26 00:00:00+00:00,4.1595
2025-07-27 00:00:00+00:00,4.326
2025-07-28 00:00:00+00:00,3.9084
2025-07-29 00:00:00+00:00,3.8128
2025-07-30 00:00:00+00:00,3.758
2025-07-31 00:00:00+00:00,3.614
2025-08-01 00:00:00+00:00,3.4592
2025-08-02 00:00:00+00:00,3.3344
2025-08-03 00:00:00+00:00,3.4466
2025-08-04 00:00:00+00:00,3.5893
2025-08-05 00:00:00+00:00,3.411
2025-08-06 00:00:00+00:00,3.4986
2025-08-07 00:00:00+00:00,3.7894
2025-08-08 00:00:00+00:00,3.8387
2025-08-09 00:00:00+00:00,3.8976
2025-08-10 00:00:00+00:00,3.8754
2025-08-11 00:00:00+00:00,3.6535
2025-08-12 00:00:00+00:00,3.8837
2025-08-13 00:00:00+00:00,4.0049
2025-08-14 00:00:00+00:00,3.7548
2025-08-15 00:00:00+00:00,3.711
2025-08-16 00:00:00+00:00,3.7734
2025-08-17 00:00:00+00:00,3.7639
2025-08-18 00:00:00+00:00,3.6027
2025-08-19 00:00:00+00:00,3.4222
2025-08-20 00:00:00+00:00,3.5575
2025-08-21 00:00:00+00:00,3.4129
2025-08-22 00:00:00+00:00,3.7603
2025-08-23 00:00:00+00:00,3.7367
2025-08-24 00:00:00+00:00,3.6806
2025-08-25 00:00:00+00:00,3.3404
2025-08-26 00:00:00+00:00,3.453
2025-08-27 00:00:00+00:00,3.437
2025-08-28 00:00:00+00:00,3.4914
2025-08-29 00:00:00+00:00,3.2822
2025-08-30 00:00:00+00:00,3.3065
2025-08-31 00:00:00+00:00,3.2494
2025-09-01 00:00:00+00:00,3.2042
2025-09-02 00:00:00+00:00,3.3168
2025-09-03 00:00:00+00:00,3.3876
2025-09-04 00:00:00+00:00,3.2857
2025-09-05 00:00:00+00:00,3.3743
2025-09-06 00:00:00+00:00,3.3356
2025-09-07 00:00:00+00:00,3.3966
2025-09-08 00:00:00+00:00,3.4997
2025-09-09 00:00:00+00:00,3.4698
2025-09-10 00:00:00+00:00,3.6197
2025-09-11 00:00:00+00:00,3.6669
2025-09-12 00:00:00+00:00,3.7199
2025-09-13 00:00:00+00:00,3.8146
2025-09-14 00:00:00+00:00,3.6861
2025-09-15 00:00:00+00:00,3.521
2025-09-16 00:00:00+00:00,3.6003
2025-09-17 00:00:00+00:00,3.7716
2025-09-18 00:00:00+00:00,3.8889
2025-09-19 00:00:00+00:00,3.6367
2025-09-20 00:00:00+00:00,3.6572
2025-09-21 00:00:00+00:00,3.6091
2025-09-22 00:00:00+00:00,3.3633
2025-09-23 00:00:00+00:00,3.3199
2025-09-24 00:00:00+00:00,3.3633
2025-09-25 00:00:00+00:00,3.1112
2025-09-26 00:00:00+00:00,3.2219
2025-09-27 00:00:00+00:00,3.1781
2025-09-28 00:00:00+00:00,3.2775
2025-09-29 00:00:00+00:00,3.2804
2025-09-30 00:00:00+00:00,3.2603
2025-10-01 00:00:00+00:00,3.5217
2025-10-02 00:00:00+00:00,3.5869
2025-10-03 00:00:00+00:00,3.5792
2025-10-04 00:00:00+00:00,3.6229
2025-10-05 00:00:00+00:00,3.5647
2025-10-06 00:00:00+00:00,3.623
2025-10-07 00:00:00+00:00,3.4499
2025-10-08 00:00:00+00:00,3.5353
2025-10-09 00:00:00+00:00,3.4075
2025-10-10 00:00:00+00:00,2.6047
2025-10-11 00:00:00+00:00,2.5412
2025-10-12 00:00:00+00:00,2.8083
2025-10-13 00:00:00+00:00,2.9907
2025-10-14 00:00:00+00:00,2.8205
2025-10-15 00:00:00+00:00,2.6799
2025-10-16 00:00:00+00:00,2.5161
2025-10-17 00:00:00+00:00,2.4367
2025-10-18 00:00:00+00:00,2.5012
2025-10-19 00:00:00+00:00,2.5818
2025-10-20 00:00:00+00:00,2.5747
2025-10-21 00:00:00+00:00,2.4889
2025-10-22 00:00:00+00:00,2.3818
2025-10-23 00:00:00+00:00,2.4296
2025-10-24 00:00:00+00:00,2.5236
2025-10-25 00:00:00+00:00,2.5336
2025-10-26 00:00:00+00:00,2.6761
2025-10-27 00:00:00+00:00,2.6107
2025-10-28 00:00:00+00:00,2.5055
2025-10-29 00:00:00+00:00,2.5119
2025-10-30 00:00:00+00:00,2.2907
2025-10-31 00:00:00+00:00,2.3636
2025-11-01 00:00:00+00:00,2.3795
2025-11-02 00:00:00+00:00,2.354
2025-11-03 00:00:00+00:00,2.0698
2025-11-04 00:00:00+00:00,1.9754
2025-11-05 00:00:00+00:00,2.0322
2025-11-06 00:00:00+00:00,1.9677
2025-11-07 00:00:00+00:00,2.1449
2025-11-08 00:00:00+00:00,2.1224
2025-11-09 00:00:00+00:00,2.1447
2025-11-10 00:00:00+00:00,2.1631
2025-11-11 00:00:00+00:00,2.0079
2025-11-12 00:00:00+00:00,1.9676
2025-11-13 00:00:00+00:00,1.8725
2025-11-14 00:00:00+00:00,1.7406
2025-11-15 00:00:00+00:00,1.7696
2025-11-16 00:00:00+00:00,1.6792
2025-11-17 00:00:00+00:00,1.6181
2025-11-18 00:00:00+00:00,1.6686
2025-11-19 00:00:00+00:00,1.6069
2025-11-20 00:00:00+00:00,1.4968
2025-11-21 00:00:00+00:00,1.3908
2025-11-22 00:00:00+00:00,1.3451
2025-11-23 00:00:00+00:00,1.3685
2025-11-24 00:00:00+00:00,1.5273
2025-11-25 00:00:00+00:00,1.5636
2025-11-26 00:00:00+00:00,1.5434
2025-11-27 00:00:00+00:00,1.5431
2025-11-28 00:00:00+00:00,1.5212
2025-11-29 00:00:00+00:00,1.4989
2025-11-30 00:00:00+00:00,1.4969
2025-12-01 00:00:00+00:00,1.3453
2025-12-02 00:00:00+00:00,1.6279
2025-12-03 00:00:00+00:00,1.6901
2025-12-04 00:00:00+00:00,1.6585
2025-12-05 00:00:00+00:00,1.5558
2025-12-06 00:00:00+00:00,1.5638
2025-12-07 00:00:00+00:00,1.5839
2025-12-08 00:00:00+00:00,1.6103
2025-12-09 00:00:00+00:00,1.6595
2025-12-10 00:00:00+00:00,1.6147
2025-12-11 00:00:00+00:00,1.6121
2025-12-12 00:00:00+00:00,1.5594
2025-12-13 00:00:00+00:00,1.6051
2025-12-14 00:00:00+00:00,1.5535
2025-12-15 00:00:00+00:00,1.4708
2025-12-16 00:00:00+00:00,1.5114
2025-12-17 00:00:00+00:00,1.4236
2025-12-18 00:00:00+00:00,1.3466
2025-12-19 00:00:00+00:00,1.4821
2025-12-20 00:00:00+00:00,1.4545
2025-12-21 00:00:00+00:00,1.4453
2025-12-22 00:00:00+00:00,1.4626
2025-12-23 00:00:00+00:00,1.4362
2025-12-24 00:00:00+00:00,1.4155
2025-12-25 00:00:00+00:00,1.3631
2025-12-26 00:00:00+00:00,1.3982
2025-12-27 00:00:00+00:00,1.4514
2025-12-28 00:00:00+00:00,1.4466
2025-12-29 00:00:00+00:00,1.4398
2025-12-30 00:00:00+00:00,1.4343
2025-12-31 00:00:00+00:00,1.4043
2026-01-01 00:00:00+00:00,1.4721
2026-01-02 00:00:00+00:00,1.6078
2026-01-03 00:00:00+00:00,1.666
2026-01-04 00:00:00+00:00,1.6923
2026-01-05 00:00:00+00:00,1.8999
2026-01-06 00:00:00+00:00,1.9039
2026-01-07 00:00:00+00:00,1.8208
2026-01-08 00:00:00+00:00,1.8166
2026-01-09 00:00:00+00:00,1.8117
2026-01-10 00:00:00+00:00,1.7948
2026-01-11 00:00:00+00:00,1.7966
2026-01-12 00:00:00+00:00,1.7624
2026-01-13 00:00:00+00:00,1.8813
2026-01-14 00:00:00+00:00,1.853
2026-01-15 00:00:00+00:00,1.7809
2026-01-16 00:00:00+00:00,1.7888
2026-01-17 00:00:00+00:00,1.7864
2026-01-18 00:00:00+00:00,1.6962
2026-01-19 00:00:00+00:00,1.5682
2026-01-20 00:00:00+00:00,1.56
