,symbol,base,quote,quoteVolume,last,timestamp
0,ETH/USDT,ETH,USDT,1067103738.162657,3188.72,2026-01-20T00:48:26.634159+00:00
1,BTC/USDT,BTC,USDT,971733828.0348711,92673.16,2026-01-20T00:48:26.634102+00:00
2,SOL/USDT,SOL,USDT,245493791.25681,133.81,2026-01-20T00:48:26.634924+00:00
3,XRP/USDT,XRP,USDT,222832398.76297,1.9876,2026-01-20T00:48:26.634208+00:00
4,USD1/USDT,USD1,USDT,155061502.6139,0.9996,2026-01-20T00:48:26.637154+00:00
5,BNB/USDT,BNB,USDT,143483108.7423,929.83,2026-01-20T00:48:26.634169+00:00
6,DOGE/USDT,DOGE,USDT,97458895.68438,0.1289,2026-01-20T00:48:26.634612+00:00
7,BREV/USDT,BREV,USDT,93575266.12454,0.2683,2026-01-20T00:48:26.637434+00:00
8,ZEC/USDT,ZEC,USDT,86007712.9101,369.6,2026-01-20T00:48:26.634508+00:00
9,DASH/USDT,DASH,USDT,85279987.82527,75.52,2026-01-20T00:48:26.634524+00:00
10,DUSK/USDT,DUSK,USDT,84640470.6198,0.2154,2026-01-20T00:48:26.634618+00:00
11,SUI/USDT,SUI,USDT,74713981.51341,1.5596,2026-01-20T00:48:26.636423+00:00
12,TRX/USDT,TRX,USDT,70827544.04563,0.3108,2026-01-20T00:48:26.634239+00:00
13,ADA/USDT,ADA,USDT,58026804.76105,0.3692,2026-01-20T00:48:26.634200+00:00
14,ARPA/USDT,ARPA,USDT,46727963.051077,0.01892,2026-01-20T00:48:26.634766+00:00
15,ASTER/USDT,ASTER,USDT,46163389.1183,0.62,2026-01-20T00:48:26.637351+00:00
16,LTC/USDT,LTC,USDT,43395940.61654,70.95,2026-01-20T00:48:26.634189+00:00
17,ICP/USDT,ICP,USDT,42784855.14446,3.865,2026-01-20T00:48:26.635662+00:00
18,PEPE/USDT,PEPE,USDT,41095938.02779409,5.24e-06,2026-01-20T00:48:26.636433+00:00
19,PAXG/USDT,PAXG,USDT,39505376.176437,4677.75,2026-01-20T00:48:26.635172+00:00
20,ROSE/USDT,ROSE,USDT,34813079.524611,0.01848,2026-01-20T00:48:26.635395+00:00
21,币安人生/USDT,币安人生,USDT,34678765.42314,0.2088,2026-01-20T00:48:26.637440+00:00
22,NEAR/USDT,NEAR,USDT,29150789.749,1.591,2026-01-20T00:48:26.635326+00:00
23,LINK/USDT,LINK,USDT,28104573.0297,12.88,2026-01-20T00:48:26.634286+00:00
24,FOGO/USDT,FOGO,USDT,26845331.80427,0.03015,2026-01-20T00:48:26.637456+00:00
25,ENA/USDT,ENA,USDT,26413169.741482,0.1933,2026-01-20T00:48:26.636682+00:00
26,AVAX/USDT,AVAX,USDT,25026413.369,12.7,2026-01-20T00:48:26.635281+00:00
27,AXS/USDT,AXS,USDT,23113492.07169,1.776,2026-01-20T00:48:26.635369+00:00
28,ZEN/USDT,ZEN,USDT,22881152.74515,10.953,2026-01-20T00:48:26.635011+00:00
29,RESOLV/USDT,RESOLV,USDT,22341962.56117,0.115,2026-01-20T00:48:26.637177+00:00
30,BCH/USDT,BCH,USDT,21997818.1407,585.5,2026-01-20T00:48:26.634792+00:00
31,UNI/USDT,UNI,USDT,20774804.29734,5.007,2026-01-20T00:48:26.635261+00:00
32,BERA/USDT,BERA,USDT,19820535.746957,0.934,2026-01-20T00:48:26.636969+00:00
33,PUMP/USDT,PUMP,USDT,19657007.143528,0.002614,2026-01-20T00:48:26.637283+00:00
34,TAO/USDT,TAO,USDT,19155422.3308,252.0,2026-01-20T00:48:26.636702+00:00
35,FIL/USDT,FIL,USDT,18703399.2791,1.382,2026-01-20T00:48:26.635334+00:00
36,VIRTUAL/USDT,VIRTUAL,USDT,16419974.36672,0.8776,2026-01-20T00:48:26.637088+00:00
37,ARB/USDT,ARB,USDT,16273649.43215,0.1927,2026-01-20T00:48:26.636392+00:00
38,APT/USDT,APT,USDT,15242521.53544,1.607,2026-01-20T00:48:26.636279+00:00
39,CHZ/USDT,CHZ,USDT,14054485.0495,0.05639,2026-01-20T00:48:26.634708+00:00
40,DOT/USDT,DOT,USDT,13834357.23683,2.022,2026-01-20T00:48:26.635156+00:00
41,EUR/USDT,EUR,USDT,13787451.868,1.164,2026-01-20T00:48:26.634813+00:00
42,GIGGLE/USDT,GIGGLE,USDT,12952236.64816,55.84,2026-01-20T00:48:26.637384+00:00
43,HBAR/USDT,HBAR,USDT,12812163.93912,0.11085,2026-01-20T00:48:26.634745+00:00
44,WLD/USDT,WLD,USDT,12531570.18472,0.5026,2026-01-20T00:48:26.636475+00:00
45,FET/USDT,FET,USDT,12358837.49091,0.248,2026-01-20T00:48:26.634494+00:00
46,ACH/USDT,ACH,USDT,11727044.3179,0.01187,2026-01-20T00:48:26.636111+00:00
47,PENGU/USDT,PENGU,USDT,11515563.281428,0.010347,2026-01-20T00:48:26.636917+00:00
48,XUSD/USDT,XUSD,USDT,11419328.2186,1.0007,2026-01-20T00:48:26.637032+00:00
49,EIGEN/USDT,EIGEN,USDT,11086904.92348,0.341,2026-01-20T00:48:26.636819+00:00
50,TON/USDT,TON,USDT,11026019.42471,1.58,2026-01-20T00:48:26.636765+00:00
51,XPL/USDT,XPL,USDT,10815508.65227,0.133,2026-01-20T00:48:26.637318+00:00
52,WIF/USDT,WIF,USDT,10759090.09728,0.352,2026-01-20T00:48:26.636657+00:00
53,SCRT/USDT,SCRT,USDT,10529977.5563,0.1576,2026-01-20T00:48:26.636131+00:00
54,BONK/USDT,BONK,USDT,10355080.4541277,9.3e-06,2026-01-20T00:48:26.636571+00:00
55,XLM/USDT,XLM,USDT,10291117.9619,0.2154,2026-01-20T00:48:26.634227+00:00
56,XVG/USDT,XVG,USDT,10164899.596787,0.007151,2026-01-20T00:48:26.635699+00:00
57,POL/USDT,POL,USDT,9625290.70593,0.1364,2026-01-20T00:48:26.636786+00:00
58,AAVE/USDT,AAVE,USDT,9252507.24084,163.94,2026-01-20T00:48:26.635321+00:00
59,ONDO/USDT,ONDO,USDT,9238832.65641,0.3478,2026-01-20T00:48:26.637079+00:00
60,BFUSD/USDT,BFUSD,USDT,9195570.1776,0.9996,2026-01-20T00:48:26.637236+00:00
61,OG/USDT,OG,USDT,8979669.0942,4.137,2026-01-20T00:48:26.635455+00:00
62,GUN/USDT,GUN,USDT,8877286.5961,0.02643,2026-01-20T00:48:26.637069+00:00
63,TIA/USDT,TIA,USDT,8730478.273102,0.4942,2026-01-20T00:48:26.636517+00:00
64,BIO/USDT,BIO,USDT,8617083.74766,0.0465,2026-01-20T00:48:26.636922+00:00
65,RENDER/USDT,RENDER,USDT,8586343.91498,2.065,2026-01-20T00:48:26.636760+00:00
66,ZKP/USDT,ZKP,USDT,8433982.12719,0.1251,2026-01-20T00:48:26.637445+00:00
67,QNT/USDT,QNT,USDT,8290733.61084,83.37,2026-01-20T00:48:26.635765+00:00
68,TRUMP/USDT,TRUMP,USDT,8283956.781764,5.007,2026-01-20T00:48:26.636958+00:00
69,SEI/USDT,SEI,USDT,7732768.83246,0.1103,2026-01-20T00:48:26.636482+00:00
70,SHIB/USDT,SHIB,USDT,7668230.62145205,8.09e-06,2026-01-20T00:48:26.635657+00:00
71,SHELL/USDT,SHELL,USDT,7597386.42899,0.0557,2026-01-20T00:48:26.637002+00:00
72,MANA/USDT,MANA,USDT,7406023.4548,0.1593,2026-01-20T00:48:26.635084+00:00
73,WLFI/USDT,WLFI,USDT,7392368.58494,0.1647,2026-01-20T00:48:26.637254+00:00
74,ETHFI/USDT,ETHFI,USDT,7237606.4792,0.643,2026-01-20T00:48:26.636676+00:00
75,MET/USDT,MET,USDT,7163092.68147,0.283,2026-01-20T00:48:26.637419+00:00
76,USDE/USDT,USDE,USDT,7083757.0633,1.0003,2026-01-20T00:48:26.637268+00:00
77,STO/USDT,STO,USDT,6988262.23615,0.0993,2026-01-20T00:48:26.637119+00:00
78,AVNT/USDT,AVNT,USDT,6915015.08134,0.2879,2026-01-20T00:48:26.637288+00:00
79,STRK/USDT,STRK,USDT,6499198.858666,0.0817,2026-01-20T00:48:26.636637+00:00
80,BARD/USDT,BARD,USDT,6083603.6835,0.8052,2026-01-20T00:48:26.637302+00:00
81,XTZ/USDT,XTZ,USDT,5899601.45126,0.608,2026-01-20T00:48:26.634725+00:00
82,ZK/USDT,ZK,USDT,5894811.399129,0.03193,2026-01-20T00:48:26.636735+00:00
83,ME/USDT,ME,USDT,5885244.160249,0.2433,2026-01-20T00:48:26.636891+00:00
84,BROCCOLI714/USDT,BROCCOLI714,USDT,5831070.36398,0.0202,2026-01-20T00:48:26.637058+00:00
85,INJ/USDT,INJ,USDT,5811211.82458,4.799,2026-01-20T00:48:26.635345+00:00
86,GALA/USDT,GALA,USDT,5767896.35456,0.00668,2026-01-20T00:48:26.635875+00:00
87,SAND/USDT,SAND,USDT,5754661.891,0.1352,2026-01-20T00:48:26.635141+00:00
88,BEL/USDT,BEL,USDT,5645182.23134,0.1445,2026-01-20T00:48:26.635247+00:00
89,OP/USDT,OP,USDT,5580688.33092,0.3181,2026-01-20T00:48:26.636244+00:00
90,ETC/USDT,ETC,USDT,5557800.3888,12.01,2026-01-20T00:48:26.634244+00:00
91,PENDLE/USDT,PENDLE,USDT,5354086.4077,1.958,2026-01-20T00:48:26.636461+00:00
92,PIVX/USDT,PIVX,USDT,5273478.0903,0.1775,2026-01-20T00:48:26.636537+00:00
93,BNSOL/USDT,BNSOL,USDT,5160114.3622,146.6,2026-01-20T00:48:26.636831+00:00
94,ZRO/USDT,ZRO,USDT,5157738.1946,1.755,2026-01-20T00:48:26.636745+00:00
95,LDO/USDT,LDO,USDT,5130336.971554,0.5568,2026-01-20T00:48:26.636234+00:00
96,AT/USDT,AT,USDT,5037086.10082,0.1694,2026-01-20T00:48:26.637424+00:00
97,COTI/USDT,COTI,USDT,4980103.78571,0.02185,2026-01-20T00:48:26.634894+00:00
98,KITE/USDT,KITE,USDT,4962829.90917,0.0984,2026-01-20T00:48:26.637393+00:00
99,PHA/USDT,PHA,USDT,4793860.8801,0.0406,2026-01-20T00:48:26.635735+00:00
